================================================================================
Active Author Analysis Report (All conferences)
================================================================================

Criteria:
  - At least 2 first OR last author positions, OR
  - At least 4 middle author positions

Total papers: 46,004
Total unique authors: 82,387
Active authors: 20,170 (24.5%)
Inactive authors: 62,217 (75.5%)

================================================================================
Active Authors (sorted by total papers)
================================================================================

Rank     Author Name                                        Total    First    Last     Middle  
131      Bernard Ghanem                                     56       0        31       25      
132      Wangmeng Zuo                                       56       0        41       15      
133      Liqiang Nie                                        55       0        39       16      
134      Bing Qin                                           55       0        37       18      
135      Federico Tombari                                   55       0        26       29      
136      Hengshuang Zhao                                    55       0        30       25      
137      Ryan Cotterell                                     54       0        36       18      
138      Dongsheng Li                                       54       0        27       27      
139      Yang Gao                                           54       0        30       24      
140      Salman Khan                                        54       0        6        48      
141      Chen Li                                            54       4        10       40      
142      Michael J. Black                                   54       1        18       35      
143      Qifeng Chen                                        54       0        24       30      
144      Luke Zettlemoyer                                   53       0        12       41      
145      Yu Cheng                                           53       1        24       28      
146      Jinwoo Shin                                        53       0        24       29      
147      Kai Wang                                           53       2        0        51      
148      Hao Tang                                           52       8        5        39      
149      Yi Zhang                                           52       11       5        36      
150      Kai Han                                            52       2        17       33      
151      Jie Zhang                                          52       8        8        36      
152      Bin Li                                             52       0        5        47      
153      Gim Hee Lee                                        52       0        47       5       
154      Wei Huang                                          52       11       1        40      
155      Jan Kautz                                          52       0        10       42      
156      Boxin Shi                                          52       0        37       15      
157      William Yang Wang                                  51       0        23       28      
158      Hao Zhou                                           51       2        5        44      
159      Sung Ju Hwang                                      51       0        39       12      
160      Yaowei Wang                                        51       0        5        46      
161      Jie Tang                                           51       1        25       25      
162      Yu-Gang Jiang                                      51       0        44       7       
163      Tianyi Zhou                                        51       1        18       32      
164      Shuai Li                                           51       4        21       26      
165      Andrea Vedaldi                                     51       0        25       26      
166      Hujun Bao                                          51       0        7        44      
167      Xiu Li                                             51       0        25       26      
168      Dinesh Manocha                                     50       0        35       15      
169      Fan Yang                                           50       2        0        48      
170      Yu Li                                              50       1        14       35      
171      Qifan Wang                                         50       2        4        44      
172      Ting Liu                                           50       2        18       30      
173      Dong Wang                                          50       2        10       38      
174      Qiang Liu                                          50       3        14       33      
175      Jiaqi Wang                                         50       6        18       26      
176      Kuk-Jin Yoon                                       50       0        49       1       
177      Jiawei Han                                         49       1        26       22      
178      Liang Wang                                         49       5        14       30      
179      Yan Zhang                                          49       3        3        43      
180      Furong Huang                                       49       0        24       25      
181      Jian Wang                                          49       9        11       29      
182      Daniel Cremers                                     49       0        31       18      
183      Chi Zhang                                          49       8        9        32      
184      Wei-Shi Zheng                                      49       0        40       9       
185      Yu-Xiong Wang                                      49       0        34       15      
186      Wenguan Wang                                       49       0        14       35      
187      Yao Zhao                                           49       3        16       30      
188      Alan Yuille                                        49       0        17       32      
189      Qi Tian                                            48       0        33       15      
190      Xin Zhang                                          48       10       4        34      
191      Xiao Liu                                           48       7        0        41      
192      Yang Wang                                          48       2        27       19      
193      Shanghang Zhang                                    48       0        25       23      
194      Sida Peng                                          48       1        8        39      
195      Xiaowei Zhou                                       48       0        25       23      
196      Bernt Schiele                                      48       0        21       27      
197      Meng Wang                                          48       1        24       23      
198      Tianzhu Zhang                                      48       0        26       22      
199      Gordon Wetzstein                                   48       0        15       33      
200      Guanbin Li                                         48       0        27       21      
201      Shuo Wang                                          47       6        2        39      
202      Houqiang Li                                        47       0        27       20      
203      Lei Wang                                           47       11       3        33      
204      Yixuan Li                                          47       3        23       21      
205      Rui Zhang                                          47       2        6        39      
206      Liang Lin                                          47       0        24       23      
207      Feng Zhao                                          47       2        34       11      
208      Huchuan Lu                                         47       0        21       26      
209      Christian Theobalt                                 47       0        16       31      
210      Xiaojuan Qi                                        47       0        29       18      
211      Jiankang Deng                                      47       0        11       36      
212      Tiejun Huang                                       47       0        22       25      
213      Jong Chul Ye                                       47       0        42       5       
214      Taiji Suzuki                                       47       3        26       18      
215      Zhen Wang                                          46       6        5        35      
216      Yang You                                           46       2        31       13      
217      Wei Xu                                             46       3        18       25      
218      Bo Du                                              46       0        10       36      
219      Tong He                                            46       0        10       36      
220      Siyuan Huang                                       46       4        28       14      
221      Shu-Tao Xia                                        46       0        28       18      
222      Siyuan Li                                          46       9        1        36      
223      Ya Zhang                                           46       0        4        42      
224      Varun Jampani                                      46       0        19       27      
225      Jifeng Dai                                         46       0        19       27      
226      Stan Z. Li                                         46       0        43       3       
227      Zhiwei Xiong                                       46       0        29       17      
228      Mubarak Shah                                       46       0        22       24      
229      Yilun Du                                           46       7        4        35      
230      Pieter Abbeel                                      46       0        18       28      
231      Diyi Yang                                          45       0        28       17      
232      Lingpeng Kong                                      45       0        21       24      
233      Chun Yuan                                          45       0        14       31      
234      Shafiq Joty                                        45       0        17       28      
235      Fei Wu                                             45       0        20       25      
236      Jun Zhao                                           45       5        20       20      
237      Lingjuan Lyu                                       45       0        13       32      
238      Xiao Wang                                          45       5        5        35      
239      Kenji Kawaguchi                                    45       1        12       32      
240      Zheng-Jun Zha                                      45       0        33       12      
241      Pan Zhou                                           45       0        9        36      
242      Yong Zhang                                         45       2        6        37      
243      Xiang Bai                                          45       0        35       10      
244      Peng Gao                                           45       1        9        35      
245      Xiaochun Cao                                       45       0        23       22      
246      Masashi Sugiyama                                   45       0        21       24      
247      Dong Yu                                            44       0        31       13      
248      Kang Liu                                           44       3        16       25      
249      Rui Zhao                                           44       7        4        33      
250      Huajun Chen                                        44       0        30       14      
251      Chen Zhao                                          44       8        5        31      
252      Xueqi Cheng                                        44       0        41       3       
253      Qing Li                                            44       5        14       25      
254      Jieping Ye                                         44       0        36       8       
255      Xiaolong Wang                                      44       3        21       20      
256      Ranjay Krishna                                     44       0        17       27      
257      Tao Chen                                           44       1        15       28      
258      Yi Wang                                            44       6        4        34      
259      Yansong Tang                                       44       1        17       26      
260      Angela Yao                                         44       0        40       4       
261      Yang Yu                                            44       3        28       13      
262      Mrinmaya Sachan                                    43       0        20       23      
263      Fan Wang                                           43       4        4        35      
264      Yi Xu                                              43       6        8        29      
265      Mang Ye                                            43       0        33       10      
266      Jiaya Jia                                          43       0        40       3       
267      Han Hu                                             43       1        9        33      
268      Renrui Zhang                                       43       9        0        34      
269      Shijian Lu                                         43       0        27       16      
270      Jiashi Feng                                        43       0        8        35      
271      Stephan Günnemann                                  43       0        32       11      
272      Mengdi Wang                                        43       0        14       29      
273      Hong Chen                                          42       4        10       28      
274      Lijuan Wang                                        42       0        19       23      
275      Jaegul Choo                                        42       0        29       13      
276      Xin Zhao                                           42       2        0        40      
277      Wenping Wang                                       42       0        19       23      
278      Liwei Wang                                         42       1        28       13      
279      Yang Zhou                                          42       11       2        29      
280      Xintao Wang                                        42       2        0        40      
281      Zheng Wang                                         42       6        11       25      
282      Jie Wang                                           42       5        2        35      
283      Radu Timofte                                       42       0        17       25      
284      Jiang Bian                                         42       0        27       15      
285      Jun Zhang                                          42       5        14       23      
286      Ke Li                                              42       2        12       28      
287      Xin Jin                                            42       8        4        30      
288      Kun Wang                                           42       5        2        35      
289      Lei Yang                                           42       3        4        35      
290      Zuxuan Wu                                          42       0        7        35      
291      Bryan Kian Hsiang Low                              42       0        32       10      
292      Yi-Zhe Song                                        42       0        29       13      
293      Chunhua Shen                                       42       0        31       11      
294      Li Yuan                                            42       0        17       25      
295      Feng Wu                                            42       1        35       6       
296      Cheng Wang                                         42       2        24       16      
297      Yanwei Fu                                          42       0        20       22      
298      Chelsea Finn                                       42       0        21       21      
299      Rui Yan                                            41       0        30       11      
300      Zicheng Liu                                        41       2        7        32      
301      Hannaneh Hajishirzi                                41       0        19       22      
302      Hao Sun                                            41       12       6        23      
303      Qiang Zhang                                        41       1        7        33      
304      Peng Li                                            41       3        3        35      
305      Percy Liang                                        41       0        12       29      
306      Chaowei Xiao                                       41       1        20       20      
307      Conghui He                                         41       0        12       29      
308      Yifei Wang                                         41       10       0        31      
309      Guangtao Zhai                                      41       0        21       20      
310      Nicu Sebe                                          41       0        16       25      
311      Si Liu                                             41       0        20       21      
312      Ming-Ming Cheng                                    41       0        20       21      
313      Sanja Fidler                                       41       0        5        36      
314      Yunhe Wang                                         41       0        31       10      
315      Chengjie Wang                                      41       1        8        32      
316      Arman Cohan                                        40       0        25       15      
317      Hao Fei                                            40       5        2        33      
318      Bing Li                                            40       2        5        33      
319      Xing Xie                                           40       0        18       22      
320      Dan Roth                                           40       0        18       22      
321      Xu Han                                             40       3        0        37      
322      Yang Zhao                                          40       6        0        34      
323      Jing Li                                            40       4        5        31      
324      Lei Feng                                           40       0        14       26      
325      Qingming Huang                                     40       0        33       7       
326      Yifan Zhang                                        40       13       1        26      
327      Long Chen                                          40       0        20       20      
328      Yizhou Wang                                        40       0        24       16      
329      Jingyi Yu                                          40       0        6        34      
330      Cewu Lu                                            40       0        24       16      
331      Yisen Wang                                         40       0        31       9       
332      Mingming Gong                                      40       0        9        31      
333      Xiangtai Li                                        40       2        3        35      
334      Nhat Ho                                            40       0        26       14      
335      James Zou                                          40       0        17       23      
336      Mihaela van der Schaar                             40       0        38       2       
337      Hao Cheng                                          39       7        1        31      
338      Lidong Bing                                        39       0        32       7       
339      Cordelia Schmid                                    39       0        19       20      
340      Yongdong Zhang                                     39       0        22       17      
341      Zongqing Lu                                        39       0        32       7       
342      Chao Chen                                          39       9        15       15      
343      Min Lin                                            39       1        21       17      
344      Lei Zhu                                            39       5        20       14      
345      Jianye Hao                                         39       0        8        31      
346      Ming Li                                            39       13       4        22      
347      Fei Wang                                           39       6        9        24      
348      Deva Ramanan                                       39       0        15       24      
349      Hao Dong                                           39       4        21       14      
350      Kai Xu                                             39       4        17       18      
351      Xihui Liu                                          39       0        13       26      
352      Matthias Nießner                                   39       0        25       14      
353      Zhe Lin                                            39       0        3        36      
354      Shouhong Ding                                      39       0        2        37      
355      Hao Su                                             39       0        23       16      
356      Lijun Zhang                                        39       4        21       14      
357      Jason D. Lee                                       39       1        15       23      
358      Bryan Hooi                                         38       0        22       16      
359      Kun Zhou                                           38       6        3        29      
360      Yue Wu                                             38       8        0        30      
361      Yuan Yao                                           38       1        3        34      
362      Yong Li                                            38       1        18       19      
363      Jun Yu                                             38       0        11       27      
364      Deli Zhao                                          38       0        2        36      
365      Kurt Keutzer                                       38       0        6        32      
366      Yan Lu                                             38       0        22       16      
367      Tao Xiang                                          38       0        9        29      
368      Christian Rupprecht                                38       0        9        29      
369      Li Yi                                              38       1        22       15      
370      Jie Song                                           38       1        10       27      
371      Mingyuan Zhou                                      38       5        25       8       
372      Xiang Ren                                          37       0        19       18      
373      Yulia Tsvetkov                                     37       0        20       17      
374      Yuandong Tian                                      37       3        13       21      
375      Yu Su                                              37       0        14       23      
376      Tao Jin                                            37       2        7        28      
377      Min Yang                                           37       2        11       24      
378      Hao Yang                                           37       7        4        26      
379      Yi Liu                                             37       10       4        23      
380      Wei Wu                                             37       6        4        27      
381      Lu Wang                                            37       0        17       20      
382      Jindong Wang                                       37       0        2        35      
383      Yufei Wang                                         37       11       0        26      
384      Bo Zheng                                           37       0        14       23      
385      Yiming Li                                          37       4        5        28      
386      Kun Kuang                                          37       0        20       17      
387      Tao Yu                                             37       4        10       23      
388      Wenqi Shao                                         37       1        3        33      
389      Cheng Zhang                                        37       9        11       17      
390      Xuelong Li                                         37       0        30       7       
391      Tong Wu                                            37       9        0        28      
392      Mathieu Salzmann                                   37       0        18       19      
393      Otmar Hilliges                                     37       0        17       20      
394      Errui Ding                                         37       0        3        34      
395      Weidi Xie                                          37       0        17       20      
396      Xin Chen                                           37       6        0        31      
397      Joshua B. Tenenbaum                                37       0        3        34      
398      Guofeng Zhang                                      37       0        14       23      
399      Jiangning Zhang                                    37       1        0        36      
400      Martin Vechev                                      37       0        37       0       
401      Shuang Li                                          36       3        10       23      
402      Jia Li                                             36       2        20       14      
403      Gunhee Kim                                         36       0        29       7       
404      Tatsunori Hashimoto                                36       0        21       15      
405      Tao Gui                                            36       0        5        31      
406      Yangqiu Song                                       36       0        20       16      
407      Wentao Zhang                                       36       2        10       24      
408      Yi Zhou                                            36       4        9        23      
409      Jingren Zhou                                       36       0        25       11      
410      Yuxiao Dong                                        36       0        7        29      
411      Yixiao Ge                                          36       0        1        35      
412      Wengang Zhou                                       36       0        0        36      
413      Dawn Song                                          36       0        13       23      
414      Dong Li                                            36       6        0        30      
415      Yu-Xiang Wang                                      36       0        19       17      
416      Lizhuang Ma                                        36       0        24       12      
417      Yuexin Ma                                          36       0        14       22      
418      Di Huang                                           36       2        17       17      
419      Xi Peng                                            36       0        24       12      
420      Yuan Liu                                           36       5        3        28      
421      Guosheng Lin                                       36       0        16       20      
422      Zhaofei Yu                                         36       0        13       23      
423      Vishal M. Patel                                    36       0        22       14      
424      Hao Liu                                            36       7        3        26      
425      Mohamed Elhoseiny                                  36       0        25       11      
426      Kai Li                                             36       4        0        32      
427      Tom Goldstein                                      36       0        23       13      
428      Zhao Song                                          36       5        5        26      
429      Zheng Liu                                          35       3        6        26      
430      Xu Chen                                            35       1        2        32      
431      Ke Wang                                            35       8        1        26      
432      Zhenyu Zhang                                       35       5        1        29      
433      Haoyu Wang                                         35       10       0        25      
434      Jingbo Shang                                       35       0        23       12      
435      Huaxiu Yao                                         35       1        12       22      
436      Bo Liu                                             35       4        3        28      
437      Xiaoming Liu                                       35       1        25       9       
438      Wei Shen                                           35       1        13       21      
439      Hao Peng                                           35       3        5        27      
440      Hao Zhu                                            35       4        7        24      
441      Bhiksha Raj                                        35       0        15       20      
442      Bin Chen                                           35       2        3        30      
443      Sijia Liu                                          35       0        18       17      
444      Xinwang Liu                                        35       0        11       24      
445      Joey Tianyi Zhou                                   35       0        14       21      
446      Di Wang                                            35       0        15       20      
447      Abhinav Shrivastava                                35       0        26       9       
448      Chao Ma                                            35       2        18       15      
449      Stefano Soatto                                     35       0        29       6       
450      Anima Anandkumar                                   35       0        22       13      
451      Chao Xu                                            35       4        0        31      
452      Mingli Song                                        35       0        18       17      
453      Jiangchao Yao                                      35       0        1        34      
454      Bo An                                              35       0        14       21      
455      Huazhe Xu                                          35       0        24       11      
456      Hai Zhao                                           34       0        22       12      
457      Zhen Li                                            34       5        10       19      
458      Bo Wang                                            34       3        2        29      
459      Yue Yu                                             34       6        5        23      
460      Yifei Zhang                                        34       8        1        25      
461      Song Wang                                          34       9        7        18      
462      Rui Li                                             34       16       4        14      
463      Jing Yang                                          34       4        14       16      
464      Tianwei Zhang                                      34       0        15       19      
465      Ke Xu                                              34       2        6        26      
466      Benjamin Van Durme                                 34       0        11       23      
467      Danqi Chen                                         34       0        20       14      
